symbol,signal_ts,mkt_snap_ts,entry_ts,lat_dec_s,lat_mkt_s,ma2_slots_occupied_at_entry,cross_strategy_holding_symbol_at_signal,n_real_competitors_same_slot,replay_first_fire_ts,replay_first_fire_delta_min,replay_pattern_persistence_bars_5m
ESPUSDT,2026-07-28T00:26:59.280000,2026-07-28T00:26:54.836000,2026-07-28T00:26:59.833000,0.6,5.0,2,,1,2026-07-28T00:10:00,-17.0,9
XAUUSDT,2026-07-28T00:42:15.613000,2026-07-28T00:42:11.832000,2026-07-28T00:42:16.691000,1.1,4.9,2,,3,2026-07-28T00:05:00,-37.3,24
BCHUSDT,2026-07-28T13:46:08.933000,2026-07-28T13:46:04.892000,2026-07-28T13:46:09.448000,0.5,4.6,2,,1,2026-07-28T03:05:00,-641.1,154
REZUSDT,2026-07-29T01:10:32.036000,2026-07-29T01:10:27.349000,2026-07-29T01:10:32.573000,0.5,5.2,2,,4,2026-07-29T01:05:00,-5.5,16
CRCLUSDT,2026-07-29T04:11:58.755000,2026-07-29T04:11:54.584000,2026-07-29T04:12:01.133000,2.4,6.5,1,,0,2026-07-28T04:35:00,-1417.0,127
AEROUSDT,2026-07-29T04:25:42.701000,2026-07-29T04:25:39.239000,2026-07-29T04:25:43.191000,0.5,4.0,2,,1,2026-07-29T04:05:00,-20.7,24
COAIUSDT,2026-07-29T14:13:15.957000,2026-07-29T14:13:11.802000,2026-07-29T14:13:17.082000,1.1,5.3,2,,1,NO_FIRE_OR_UNREPLAYABLE,,0
RUNEUSDT,2026-07-29T19:42:59.562000,2026-07-29T19:42:54.663000,2026-07-29T19:43:00.505000,0.9,5.8,2,,0,2026-07-29T16:45:00,-178.0,43
AAVEUSDT,2026-07-29T21:08:38.532000,2026-07-29T21:08:35.482000,2026-07-29T21:08:39.063000,0.5,3.6,2,,0,2026-07-29T20:30:00,-38.6,7
SQQQUSDT,2026-07-30T16:17:12.909000,2026-07-30T16:17:08.652000,2026-07-30T16:17:13.485000,0.6,4.8,2,,0,2026-07-30T16:05:00,-12.2,12
WLFIUSDT,2026-07-30T20:43:35.549000,2026-07-30T20:43:30.966000,2026-07-30T20:43:36.050000,0.5,5.1,2,,4,2026-07-30T19:05:00,-98.6,49
ONDOUSDT,2026-07-31T09:45:06.722000,2026-07-31T09:45:00.999000,2026-07-31T09:45:07.520000,0.8,6.5,2,,0,2026-07-31T07:05:00,-160.1,35
ROBOUSDT,2026-07-31T22:35:38.958000,2026-07-31T22:35:34.558000,2026-07-31T22:35:39.546000,0.6,5.0,0,,0,2026-07-31T22:05:00,-30.6,34
OPENUSDT,2026-08-01T00:14:58.160000,2026-08-01T00:14:53.349000,2026-08-01T00:14:59.362000,1.2,6.0,1,,0,2026-08-01T00:05:00,-10.0,6
JUPUSDT,2026-08-01T01:12:55.068000,2026-08-01T01:12:51.020000,2026-08-01T01:12:55.625000,0.6,4.6,2,,0,2026-07-31T12:10:00,-782.9,35
TAOUSDT,2026-08-01T15:18:29.995000,2026-08-01T15:18:25.253000,2026-08-01T15:18:30.908000,0.9,5.7,2,,0,2026-08-01T15:05:00,-13.5,25
CAPUSDT,2026-08-01T18:42:13.586000,2026-08-01T18:42:10.054000,2026-08-01T18:42:14.189000,0.6,4.1,2,,2,2026-08-01T18:05:00,-37.2,12
COTIUSDT,2026-08-01T19:40:39.592000,2026-08-01T19:40:35.655000,2026-08-01T19:40:40.868000,1.3,5.2,2,,1,NO_FIRE_OR_UNREPLAYABLE,,0
1MBABYDOGEUSDT,2026-08-02T03:11:39.462000,2026-08-02T03:11:34.032000,2026-08-02T03:11:40.958000,1.5,6.9,2,,3,2026-08-01T21:05:00,-366.7,64
BROCCOLI714USDT,2026-08-02T16:00:49.100000,2026-08-02T16:00:45.547000,2026-08-02T16:00:49.923000,0.8,4.4,2,,1,2026-08-02T14:05:00,-115.8,51
SAHARAUSDT,2026-08-03T03:52:57.087000,2026-08-03T03:52:53.029000,2026-08-03T03:52:57.747000,0.7,4.7,2,,0,2026-08-03T01:05:00,-168.0,59
APRUSDT,2026-08-03T13:55:20.049000,2026-08-03T13:55:16.005000,2026-08-03T13:55:21.056000,1.0,5.1,2,,3,2026-08-03T13:05:00,-50.3,11
EDENUSDT,2026-08-03T16:53:32.528000,2026-08-03T16:53:27.562000,2026-08-03T16:53:33.420000,0.9,5.9,2,,0,2026-08-03T13:05:00,-228.5,49
AWEUSDT,2026-08-04T00:35:01.937000,2026-08-04T00:34:57.122000,2026-08-04T00:35:05.469000,3.5,8.3,2,,0,2026-08-03T20:35:00,-240.0,41
MINIMAXUSDT,2026-08-04T17:12:39.109000,2026-08-04T17:12:33.798000,2026-08-04T17:12:42.267000,3.2,8.5,2,,0,NO_FIRE_OR_UNREPLAYABLE,,0
PENGUUSDT,2026-08-05T00:53:55.910000,2026-08-05T00:53:50.742000,2026-08-05T00:53:56.609000,0.7,5.9,2,,3,2026-08-04T14:20:00,-633.9,102
PIPPINUSDT,2026-08-05T15:15:34.418000,2026-08-05T15:15:30.727000,2026-08-05T15:15:35.498000,1.1,4.8,2,,0,2026-08-05T13:15:00,-120.6,24
XNYUSDT,2026-08-06T01:54:53.431000,2026-08-06T01:54:49.278000,2026-08-06T01:54:53.948000,0.5,4.7,2,,0,2026-08-05T15:30:00,-624.9,74
PENGUSDT,2026-08-06T09:37:42.817000,2026-08-06T09:37:38.662000,2026-08-06T09:37:44.198000,1.4,5.5,2,,3,NO_FIRE_OR_UNREPLAYABLE,,0
AIAUSDT,2026-08-06T13:36:50.037000,2026-08-06T13:36:45.444000,2026-08-06T13:36:50.787000,0.8,5.3,2,,1,2026-08-06T13:05:00,-31.8,12
WIFUSDT,2026-08-06T20:22:14.377000,2026-08-06T20:22:09.993000,2026-08-06T20:22:14.919000,0.5,4.9,2,,1,2026-08-05T22:05:00,-1337.2,104
BTCUSDT,2026-08-07T04:15:49.983000,2026-08-07T04:15:46.430000,2026-08-07T04:15:50.768000,0.8,4.3,2,,0,2026-08-07T02:35:00,-100.8,54
TRBUSDT,2026-08-07T20:35:34.452000,2026-08-07T20:35:30.540000,2026-08-07T20:35:35.052000,0.6,4.5,2,,0,2026-08-07T18:05:00,-150.6,68
PEOPLEUSDT,2026-08-07T20:48:50.904000,2026-08-07T20:48:47.053000,2026-08-07T20:48:51.420000,0.5,4.4,2,,2,2026-08-07T20:35:00,-13.8,3
NILUSDT,2026-08-08T21:22:46.730000,2026-08-08T21:22:42.515000,2026-08-08T21:22:47.328000,0.6,4.8,2,,0,2026-08-08T10:05:00,-677.8,60
ERAUSDT,2026-08-09T03:23:41.990000,2026-08-09T03:23:38.577000,2026-08-09T03:23:42.948000,1.0,4.4,2,,0,2026-08-09T03:05:00,-18.7,12
