Symbol,OpenedAt,Name
BTWUSDT,2026-07-14 17:30:15.077293+00,LSE Counter-Trend 
SLXUSDT,2026-07-14 17:41:50.979033+00,FVG - 5m
SLXUSDT,2026-07-14 17:42:01.115691+00,MA Slope Caso 1
TOWNSUSDT,2026-07-14 17:50:03.95961+00,FVG - 5m
EDUUSDT,2026-07-14 18:29:20.287067+00,Standard Scalping
BTRUSDT,2026-07-14 18:29:28.393999+00,Standard Scalping
HOODUSDT,2026-07-14 18:33:46.0906+00,FVG - 1m
HANAUSDT,2026-07-14 18:39:56.516553+00,FVG - 15m
1000RATSUSDT,2026-07-14 18:52:14.945897+00,FVG - 5m
SYRUPUSDT,2026-07-14 18:58:58.500047+00,FVG - 1m
HUSDT,2026-07-14 19:05:20.312507+00,FVG - 1m
STABLEUSDT,2026-07-14 19:05:26.394518+00,MA Slope Caso 2
AXTIUSDT,2026-07-14 19:15:08.161123+00,Standard Scalping
