symbol,side,opened,entry,sl0,tp0,exitReason,exitBar,finalLevel,pnl
AVAAIUSDT,0,2026-06-25T05:26:26.0000000Z,0.005378,0.00529894,0.00563098,sl,19,3,1.3800000000000000000000000000
AVAAIUSDT,0,2026-06-25T05:26:30.0000000Z,0.005378,0.00521989,0.00570688,sl,19,3,1.3800000000000000000000000000
NMRUSDT,1,2026-06-25T05:56:25.0000000Z,8.51,8.68871,8.10343475,sl,32,3,1.3800000000000000000000000000
1000PEPEUSDT,0,2026-06-25T06:26:28.0000000Z,0.0025289,0.00251357,0.00257794,sl,16,0,-1.0292886235121989797935861442
BLESSUSDT,0,2026-06-25T06:56:30.0000000Z,0.009005,0.00874025,0.00993161,sl,0,0,-4.5300499722376457523598001111
WUSDT,0,2026-06-25T07:16:27.0000000Z,0.00993,0.00968811,0.01048031,sl,14,0,-3.7739274924471299093655589125
BLESSUSDT,0,2026-06-25T07:26:28.0000000Z,0.009017,0.0084868,0.0102232,sl,0,0,-8.940006654097815237883996895
BELUSDT,0,2026-06-25T07:51:27.0000000Z,0.15422,0.14663238,0.17148184,sl,1,0,-7.4999961094540267150823498899
FIDAUSDT,0,2026-06-25T08:11:26.0000000Z,0.02265,0.02235374,0.02368692,sl,0,0,-2.0819867549668874172185430464
FIDAUSDT,0,2026-06-25T10:46:31.0000000Z,0.02262,0.02202826,0.02396621,sl,4,1,-0.12
MEGAUSDT,0,2026-06-25T21:27:37.0000000Z,0.04679,0.04533015,0.05011115,sl,11,3,1.3800000000000000000000000000
MEGAUSDT,0,2026-06-25T21:32:35.0000000Z,0.04678,0.04605023,0.04933419,sl,10,3,1.3800000000000000000000000000
TACUSDT,0,2026-06-25T21:47:39.0000000Z,0.023452,0.02305519,0.02484083,sl,0,0,-2.6580138154528398430837455228
MEGAUSDT,0,2026-06-25T22:27:38.0000000Z,0.04678,0.0459286,0.04975989,sl,7,3,1.3800000000000000000000000000
MEGAUSDT,0,2026-06-25T22:32:39.0000000Z,0.04676,0.04590897,0.04973861,sl,6,3,1.3800000000000000000000000000
BICOUSDT,1,2026-06-26T01:01:01.0000000Z,0.02059,0.02101621,0.01922612,sl,1,2,0.6300000000000000000000000000
BICOUSDT,1,2026-06-26T01:01:10.0000000Z,0.02058,0.02143201,0.01880782,sl,1,2,0.6300000000000000000000000000
TACUSDT,0,2026-06-26T02:13:31.0000000Z,0.023421,0.02262843,0.02522409,sl,1,2,0.6300000000000000000000000000
CGPTUSDT,0,2026-06-26T02:48:33.0000000Z,0.01934,0.01896055,0.02066808,sl,0,0,-3.0629937952430196483971044468
CGPTUSDT,0,2026-06-26T03:03:55.0000000Z,0.01933,0.01888754,0.02087862,sl,0,0,-3.5534712881531298499741334713
CGPTUSDT,0,2026-06-26T03:04:05.0000000Z,0.01931,0.01886799,0.02085702,sl,0,0,-3.5535318487830139823925427240
CGPTUSDT,0,2026-06-26T05:49:23.0000000Z,0.0193,0.01854267,0.02102293,sl,26,0,-6.0059844559585492227979274611
PUNDIXUSDT,0,2026-06-26T13:18:04.0000000Z,0.0797,0.07813629,0.085173,sl,0,0,-3.0629924717691342534504391468
SCRTUSDT,0,2026-06-26T15:23:07.0000000Z,0.05416,0.05294465,0.05841373,sl,4,3,1.3800000000000000000000000000
SCRTUSDT,0,2026-06-26T15:43:25.0000000Z,0.05411,0.0526934,0.0590681,sl,3,3,1.3800000000000000000000000000
SCRTUSDT,0,2026-06-26T15:43:34.0000000Z,0.05415,0.05273235,0.05911176,sl,3,3,1.3800000000000000000000000000
SCRTUSDT,0,2026-06-26T16:08:09.0000000Z,0.05411,0.05168154,0.05963474,sl,1,3,1.3800000000000000000000000000
